A_id,Size,Weight,Sweetness,Crunchiness,Juiciness,Ripeness,Acidity,Quality
1,-1.195217191,-2.839256528,3.664058758,1.588232309,0.853285795,0.867530082,-0.722809367,good
38,-1.796718509,-3.469227293,3.685436759,-0.164140623,1.32029846,1.480109529,-2.292964433,good
81,-2.451373743,-2.460445365,3.310559586,1.100072267,1.667256216,-0.01057985,-0.908360248,good
93,-2.090430519,-2.261319641,3.822713915,-0.512140853,0.660595132,0.663423371,-1.714085315,good
125,-2.229105842,-1.097255857,3.589921649,0.140221663,1.563118086,-0.161918178,-1.335152047,good
181,-1.618411896,-2.896226814,3.299581555,1.411916324,1.359808992,0.900346665,0.157979193,good
214,-1.12376402,-1.662628406,3.388158228,2.151275882,1.799548828,-1.995137818,-1.484347485,bad
231,-2.619934121,-2.222209762,3.210162135,3.198226854,4.005136612,-0.869893384,-0.630160574,good
235,-4.988465994,-0.190696332,3.451440068,-0.75969263,1.726144265,-0.085910578,-1.854692443,good
241,-2.217366179,-1.667909956,3.010118131,1.283279647,1.421265031,-2.214285605,3.758296168,bad
244,-2.757155815,0.781496878,3.330263276,0.231805943,3.293237578,-4.661244484,7.404736238,bad
282,-5.173834525,-0.832567425,3.814078611,-1.137651477,1.297219261,-0.634693097,-1.394846266,good
288,-1.96409995,-1.402303207,3.562095299,0.391376977,-0.84401949,1.855761818,3.551641608,good
454,-1.344076104,-2.598472175,3.039253076,0.477874088,0.301253737,1.253182274,0.019317439,good
455,0.258368004,-4.14234656,3.572643351,-0.748074511,-1.057461064,3.672093013,1.163699508,good
487,-4.57472641,0.195993417,3.770370286,1.464653121,2.75028225,-2.540249044,-1.800760146,good
496,-3.285537403,-1.763022467,3.429297137,1.069039088,2.831556267,-1.1943597,-1.919457867,good
502,-3.317158516,0.105307039,3.542140946,2.550256949,-2.113224155,-3.586287805,5.305217658,bad
530,1.843439162,-1.801133155,3.093698905,0.869796886,-1.241769184,-1.456677989,0.489432337,bad
550,-2.305059693,-2.626696001,3.221047375,1.521010548,2.629473351,0.21593781,-0.219795307,good
574,0.389662204,-4.386919432,3.8699463,1.636602068,3.262054988,1.095093916,-1.022076896,good
649,-2.680440382,-1.602862269,3.767627827,2.126078446,1.824476372,-0.49585143,1.132168505,good
690,-4.041377779,-0.091098329,3.038879655,2.128703735,1.489011707,0.019624634,2.473983711,bad
733,-0.500416166,-1.898359987,3.126678492,2.563035202,2.919934022,-0.984561145,-2.318115994,good
762,-1.249399529,-1.637317461,3.791557344,-0.871272572,0.416662087,0.771730838,-0.921359724,good
779,-2.980741437,0.101515699,3.011631798,-0.369518392,2.570251972,-0.855631662,-1.770887232,good
797,-1.976268309,-1.69747492,3.938755942,-0.937526951,-1.122784652,-0.043763828,-0.812285956,bad
828,-0.21434986,-2.319250296,3.079069045,-0.421976554,-0.944833448,3.129955019,1.769225354,good
889,1.920744568,-5.59234342,3.5833868,1.617297322,0.841690416,3.208947823,1.75325013,good
908,-0.477195098,-0.563953679,3.055651672,1.079078944,-0.301910354,-1.203179955,0.97284771,bad
945,-3.634499756,-1.863587999,3.858929191,-0.831101451,1.474692178,-0.038911798,-1.189820366,good
963,-3.327767295,0.457108327,3.013280476,-0.730097692,1.468226148,-0.91962328,-3.309784564,good
981,-0.340399213,-2.916425062,3.002375607,1.33568343,2.754835455,0.781658013,-1.080151306,good
1041,-2.055776172,-3.355322872,3.554301882,0.904296776,2.368481362,0.393883593,-0.083337968,good
1067,-1.317804004,-0.962762291,3.439200728,2.16521573,-0.762704335,-1.984480772,0.640408505,bad
1195,-4.323395557,-0.480858513,3.111942091,2.471990253,-1.279932727,-0.833375565,5.529057165,bad
1221,-1.380462942,-0.521432155,3.335713228,0.143991116,2.513751413,-0.466678528,-0.030533085,bad
1222,0.184781986,-3.970656444,3.020796847,0.147700876,0.071198093,2.991972655,0.673504733,good
1244,-2.134249264,-4.316107365,3.24381243,1.289540401,1.392813726,1.418498995,-0.393146676,good
1245,0.457311446,-3.74091318,3.264172519,3.425624286,-3.96250598,-2.85353773,-1.0020498,bad
1277,0.658433094,-4.707898013,3.752267343,2.719399319,1.210549273,2.382507534,2.008429932,good
1295,-3.623725614,-1.644889165,3.326589096,-0.022212803,0.692019102,-0.195724178,-2.170958563,good
1314,-5.015906139,-1.95026027,3.213235443,2.778096614,0.831640398,0.039786534,3.597187215,bad
1316,1.103704396,-4.586476712,3.405310455,3.269742436,0.208975275,2.869315,4.334399653,good
1368,-1.640814666,-1.356935864,3.142394614,-1.740077995,-0.016163686,1.021981081,-2.348485773,good
1386,0.53656393,-6.00074762,3.597461533,3.960714746,2.367716969,3.02843654,2.34552157,good
1387,-1.557551355,-3.281757793,3.62703273,0.994175358,0.195483023,1.303493659,0.623696496,good
1485,0.262417635,-1.927031161,3.693168895,-2.90107758,2.202411002,-2.319203174,2.614692534,good
1504,-5.489663623,-0.879753802,3.218018144,0.729640173,3.60891774,0.701062208,3.068997143,bad
1523,1.732434919,-6.58158967,3.624680374,1.388615665,1.574201163,3.308829017,-1.70027429,good
1556,-1.378301277,-3.005818132,3.538818825,1.093620599,2.480568215,0.678380249,-1.244207232,good
1589,-1.668209099,-2.418871803,3.401901691,0.243583026,1.894737913,0.690543479,-0.708988229,good
1601,-0.206921606,-4.496400618,3.873553483,1.490693012,1.584550508,1.38272674,-0.786841505,good
1646,0.320942831,-4.124307629,3.894007436,-0.250681805,0.524529624,2.891305877,-0.832732459,good
1691,-2.944317486,-0.902396687,3.125213912,1.237944585,2.59796687,-1.083695328,-1.870967196,good
1767,0.609021985,-3.305067132,3.280216542,1.901275642,-0.020360628,2.464098786,3.096691118,good
1774,-2.26486617,-0.286662556,3.605908222,-1.120043649,0.632756491,-0.466272086,-1.394008361,good
1779,-1.426836438,-2.892326756,3.119169951,1.54644751,2.53180314,0.741325051,-2.178295845,good
1810,-2.095970857,-1.884574835,3.377054991,-1.420915869,0.205560758,1.143839408,-2.621325047,good
1838,-3.736978253,-1.246626967,3.959404232,-0.160639441,2.053188187,-0.68160204,-2.686256143,good
1853,-1.205504909,2.423058106,3.473933471,-1.469718606,-2.79209944,-2.54641308,2.871475348,good
1868,-1.654510119,-1.349556441,3.23561412,0.308570722,-0.509226146,1.500709075,3.342109929,good
1871,-2.964773899,-0.187183233,3.186063135,0.379487917,1.999168877,-1.860598181,-4.492389752,good
1892,-1.256666174,-3.536869475,3.529836966,0.325472589,0.84767732,1.88114006,-0.679388519,good
1903,-3.09594744,-1.789665222,3.199965816,0.622973395,2.391803533,-0.026330414,-1.122796031,good
1921,-3.381068968,-2.62175816,3.187340205,2.043881444,3.062442644,-0.363865852,0.570639948,good
1935,-0.699261344,-1.259739331,3.069935087,-2.222392583,0.453898824,1.664953492,-1.507584962,good
1957,0.558270558,-4.287580027,3.234078506,1.713390894,1.851739704,0.900321083,-1.425231325,good
1987,-3.939220788,-0.703665486,3.132508504,2.00103787,3.255782592,-1.50618096,0.402124291,good
2001,-6.905803173,-0.599814577,3.640811227,-0.807991164,3.090986845,-1.912563985,-2.135251693,good
2017,-0.922571016,-1.977241857,3.45111512,3.809665715,-4.929679162,-5.611399924,-1.094247351,bad
2058,-0.48595147,-3.295631013,3.069043741,1.283813801,0.287897137,1.821316404,0.293289976,good
2064,0.05874291,-3.289808544,3.872647603,1.194497978,1.270256103,1.176354914,-0.839104478,good
2092,-2.649470223,-2.985518495,3.760676514,-0.083911497,1.78951681,0.359650005,-3.427009421,good
2117,1.208430101,-4.525804563,3.42247298,0.756226477,0.50964242,2.841901376,-0.575944026,good
2121,-0.677032124,-2.808800817,3.88679959,2.564403888,3.020892076,0.313849067,0.391850889,good
2156,-1.586743341,-2.823856603,3.472991638,1.762574713,0.683963385,0.427569634,-2.179352823,good
2349,-1.890719846,-3.248342069,3.6066911,1.238127273,1.544617186,1.238559135,-1.487521965,good
2419,-5.069332059,1.508076939,3.386235951,-2.239546141,-0.806686778,-0.873890934,-2.647164684,good
2494,-2.23413679,-1.630199822,3.310193206,-0.785073248,1.086112461,0.695695002,-0.981738246,good
2525,-4.192515459,-1.530624498,3.641226851,0.287239229,1.922838428,0.340670904,0.300425348,bad
2565,-3.360412933,-0.84755932,3.071638235,1.879767159,0.547999975,0.170468918,0.841770053,bad
2629,-2.797505577,0.245841511,3.292974566,-0.553624092,2.576830959,-1.517048117,-3.806190157,good
2703,-1.129248487,-2.665772074,3.417096388,-0.663709232,-0.793826028,2.9810239,-1.448802504,good
2708,-2.608909791,-1.871446539,3.468565262,0.783995886,1.420708508,0.52558978,-0.88752163,good
2709,-1.913584646,-0.974392261,3.150878268,1.9294069,1.215521536,0.32102325,1.599886607,bad
2711,0.264543326,-3.494726031,3.817398301,-0.822785222,-0.799215235,2.580769523,-0.026114955,good
2731,-0.514301592,-2.78214336,3.145282322,1.693096508,0.931536359,1.033343098,-0.458505316,good
2817,-1.219903011,-3.525280554,3.821567403,1.790595721,1.920791996,0.234290545,0.375622231,good
2843,-2.199386102,-0.782695666,3.135121136,-1.362509838,0.673479139,0.322644464,-4.534147649,good
2867,-3.516623355,-1.928840143,3.356949281,0.243890799,2.347316656,0.497590149,1.168838186,good
2893,-0.300496878,-2.870719087,3.648541808,2.989163145,2.183922618,0.463988562,0.524794375,good
2938,1.307779741,-4.664891676,3.418907581,0.614952779,-0.480987089,3.764892869,0.595125499,good
2961,-2.261672404,-0.810398929,3.523334012,-0.567024704,-0.689129281,0.355311652,0.432000061,bad
3031,0.362113379,-3.047153964,3.878195734,1.898910772,0.691746992,1.774689806,3.096682929,good
3032,-1.222028439,-2.215775581,3.23167937,-0.938840824,-0.458308572,2.307911988,1.176424009,good
3054,-4.013413331,-0.697308981,3.823556122,-1.151878024,0.605068899,0.457891892,-0.896947428,good
3128,-2.667137449,-2.424014822,3.665266986,-0.208855461,1.162848742,1.022678472,0.091921632,good
3134,-0.231493811,-2.663172054,3.445823059,0.790059602,1.081582383,0.964338833,-1.299867748,good
3135,-1.423459306,-2.466326207,3.306634863,2.092306239,2.249222796,1.031582501,0.317187773,good
3139,-3.132765923,-3.282748338,3.700535806,1.975309458,3.950249581,-0.122513101,-0.533379941,good
3143,-4.084910179,-1.014713666,3.033409091,1.676498138,-0.14170493,-0.337045152,2.131648699,bad
3149,-0.223909391,-3.138394855,3.980793922,0.365462994,0.710490097,1.741950282,-0.114346995,good
3241,-2.429093018,-1.903301178,3.8520443,1.441185844,2.572791109,-0.139493166,-0.521118184,good
3354,-1.794746015,-1.292449618,3.136065157,1.627105628,1.729924501,-0.066158015,-1.032193774,good
3432,-4.158703547,0.342154836,3.372820313,1.932820934,3.621461274,-1.569634193,5.389839871,bad
3475,-0.051790269,-4.137482472,3.27893514,0.603400163,-0.721707719,2.909604674,0.22351331,good
3515,-1.944176362,-2.24196244,3.950713072,-0.544151056,2.105970689,0.286420022,-0.961164357,good
3560,0.754702846,-3.949926231,3.002987332,2.5136369,-0.005472002,2.332417583,2.453666286,good
3594,-4.921335618,-0.231576888,3.079896038,-2.011756053,0.528195017,1.303737328,-0.840986776,good
3601,-2.076183782,0.10911225,3.326324281,2.826954359,0.020252037,-0.837847571,0.649804223,bad
3602,0.57383796,-4.604309375,3.498755063,2.549497954,0.11755595,2.629807952,3.744711358,good
3609,2.279107225,-1.47381281,3.693300597,2.536903597,-2.612736677,-3.778314189,1.225941103,bad
3712,-1.959698175,-1.673449832,3.165718762,-0.262965452,0.829822614,1.219801259,-2.146420065,good
3719,-1.753948737,-2.404526608,3.030541966,1.461401776,1.282876617,0.320760295,-0.401986967,good
3762,-1.987575637,-3.084057759,3.223005368,-0.439771064,0.954566584,1.330838414,-2.339589704,good
3768,-0.930217626,-3.888601185,3.867368129,1.618500114,2.448409329,-0.208585789,-1.539788142,good
3780,0.322860929,-5.367710942,3.757702644,1.314357337,1.851937006,1.386119501,-2.202142041,good
3810,-0.822587647,-2.483765037,3.494825892,-0.035912548,0.914803081,0.455803824,-1.747239147,good
3832,-1.639293715,-3.33406904,3.823665688,0.904777608,-1.145672199,2.70332585,2.079393199,good
3858,0.42708022,-3.100569481,3.133361586,0.503941286,-0.561777931,2.525790162,-0.998086414,good
3879,1.368755792,0.594595783,3.014961047,3.311564279,1.156120121,-4.12900467,5.458589887,good
3927,-2.012365297,-0.432218919,3.053194361,-2.544461594,0.664259393,0.657216911,-2.045779422,good
3944,-3.192860647,-1.228865008,3.27076251,-0.829909344,0.230200254,1.318140663,-0.593803367,good
3950,-1.578703304,-2.307765245,3.219000051,2.007063583,1.812183142,0.032767571,-0.410368282,good
3983,-3.652936196,-1.117508955,3.271792195,-1.266320362,2.360318847,0.00721203,-2.022186257,good
